title,runtimeMinutes,averageRating,numVotes,director,writer,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay,genre-1,genre-2,genre-3,budgetYear,domesticGrossYear,worldwideGrossYear
Modern Times,87,8.5,257713,Charles Chaplin,Charles Chaplin,1500000,163245,229549,1936,2,5,Comedy,Drama,Romance,774.7933884297521,84.32076446280992,118.56869834710744
Cat People,73,7.2,25752,Jacques Tourneur,DeWitt Bodeen,134000,4000000,8000000,1942,11,16,Fantasy,Horror,Thriller,69.0010298661174,2059.732234809475,4119.46446961895
Wilson,154,6.4,1686,Henry King,Lamar Trotti,5200000,2000000,2000000,1944,8,1,Biography,Drama,History,2674.8971193415637,1028.80658436214,1028.80658436214
12 Angry Men,96,9.0,856479,Sidney Lumet,Reginald Rose,340000,0,379,1957,4,13,Crime,Drama,NA,173.73530914665304,0.0,0.1936637710781809
The Alamo,162,6.8,17497,John Wayne,James Edward Grant,12000000,7900000,7900000,1960,10,24,Adventure,Drama,History,6122.448979591837,4030.612244897959,4030.612244897959
The Misfits,125,7.2,23209,John Huston,Arthur Miller,4000000,8200000,8200000,1961,2,1,Drama,Romance,Western,2039.775624681285,4181.540030596634,4181.540030596634
A Hard Day's Night,87,7.5,47813,Richard Lester,Alun Owen,560000,1537860,1626784,1964,8,11,Comedy,Musical,NA,285.132382892057,783.0244399185336,828.3014256619144
A Man for All Seasons,120,7.7,36912,Fred Zinnemann,Robert Bolt,3900000,28350000,28350000,1966,12,12,Biography,Drama,History,1983.7232960325534,14420.142421159715,14420.142421159715
Butch Cassidy and the Sundance Kid,110,8.0,225867,George Roy Hill,William Goldman,6000000,102308900,102311313,1969,10,24,Biography,Crime,Drama,3047.232097511427,51959.82732351447,51961.05281868969
Deep Throat,61,5.0,7016,Gerard Damiano,Gerard Damiano,25000,45000000,45000000,1972,6,30,Adult,Comedy,NA,12.677484787018255,22819.47261663286,22819.47261663286
The Exorcist,122,8.1,451661,William Friedkin,William Peter Blatty,12000000,230956951,428824083,1973,12,26,Horror,NA,NA,6082.108464267612,117058.76887987836,217346.2154080081
The Sting,129,8.3,278101,George Roy Hill,David S. Ward,5500000,159616327,159616327,1973,12,25,Comedy,Crime,Drama,2787.6330461226557,80900.31779016726,80900.31779016726
Benji,86,6.1,5152,Joe Camp,Joe Camp,500000,31559560,31559560,1974,11,15,Adventure,Family,Romance,253.29280648429585,15987.619047619048,15987.619047619048
The Conversation,113,7.7,120687,Francis Ford Coppola,Francis Ford Coppola,1600000,4574909,4574909,1974,4,7,Drama,Mystery,Thriller,810.5369807497467,2317.583080040527,2317.583080040527
Love and Death,85,7.7,40639,Woody Allen,Woody Allen,3000000,20123742,20123742,1975,6,10,Comedy,War,NA,1518.987341772152,10189.236455696202,10189.236455696202
The Omen,111,7.5,129929,Richard Donner,David Seltzer,2800000,48570885,48577431,1976,6,25,Horror,Mystery,NA,1417.004048582996,24580.407388663967,24583.720141700403
Robin and Marian,106,6.5,13884,Richard Lester,James Goldman,5000000,8000000,8000000,1976,3,11,Adventure,Drama,Romance,2530.364372469636,4048.582995951417,4048.582995951417
Rocky,120,8.1,624002,John G. Avildsen,Sylvester Stallone,1000000,117235147,225000000,1976,11,21,Drama,Sport,NA,506.07287449392715,59329.5278340081,113866.3967611336
Taxi Driver,114,8.2,912575,Martin Scorsese,Paul Schrader,1900000,28262574,28448654,1976,2,8,Crime,Drama,NA,961.5384615384615,14302.922064777327,14397.092105263158
Capricorn One,123,6.8,24523,Peter Hyams,Peter Hyams,5000000,0,401,1977,12,10,Action,Adventure,Drama,2529.0844714213454,0.0,0.2028325746079919
Days of Heaven,94,7.7,62321,Terrence Malick,Terrence Malick,3000000,3446749,3660880,1978,9,13,Drama,Romance,NA,1516.6835187057634,1742.5424671385238,1850.798786653185
Prophecy,102,5.5,6089,John Frankenheimer,David Seltzer,12000000,22673340,22673340,1979,6,15,Horror,Sci-Fi,Thriller,6063.66851945427,11456.968165740273,11456.968165740273
Dressed to Kill,104,7.1,47807,Brian De Palma,Brian De Palma,6500000,31899000,31899000,1980,1,1,Crime,Drama,Mystery,3282.8282828282827,16110.60606060606,16110.60606060606
Galaxina,95,3.6,3385,William Sachs,William Sachs,5500000,4865000,4865000,1980,6,6,Comedy,Sci-Fi,NA,2777.777777777778,2457.070707070707,2457.070707070707
Heaven's Gate,219,6.7,16988,Michael Cimino,Michael Cimino,44000000,3484331,3484523,1980,11,19,Adventure,Drama,Western,22222.222222222223,1759.7631313131312,1759.860101010101
The Island,114,5.3,4698,Michael Ritchie,Peter Benchley,22000000,15716828,15716828,1980,6,13,Action,Adventure,Drama,11111.111111111111,7937.791919191919,7937.791919191919
The Ninth Configuration,118,6.8,8869,William Peter Blatty,William Peter Blatty,4000000,0,0,1980,2,29,Comedy,Drama,Horror,2020.20202020202,0.0,0.0
Somewhere in Time,103,7.2,32255,Jeannot Szwarc,Richard Matheson,5100000,9709597,9709597,1980,10,3,Drama,Fantasy,Romance,2575.757575757576,4903.836868686869,4903.836868686869
