title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Modern Times,87,"Comedy,Drama,Romance",8.5,257713,Charles Chaplin,Charles Chaplin,"Feb 5, 1936",1500000,163245,229549,1936,2,5
Cat People,73,"Fantasy,Horror,Thriller",7.2,25752,Jacques Tourneur,DeWitt Bodeen,"Nov 16, 1942",134000,4000000,8000000,1942,11,16
Wilson,154,"Biography,Drama,History",6.4,1686,Henry King,Lamar Trotti,"Aug 1, 1944",5200000,2000000,2000000,1944,8,1
12 Angry Men,96,"Crime,Drama",9.0,856479,Sidney Lumet,Reginald Rose,"Apr 13, 1957",340000,0,379,1957,4,13
The Alamo,162,"Adventure,Drama,History",6.8,17497,John Wayne,James Edward Grant,"Oct 24, 1960",12000000,7900000,7900000,1960,10,24
The Misfits,125,"Drama,Romance,Western",7.2,23209,John Huston,Arthur Miller,"Feb 1, 1961",4000000,8200000,8200000,1961,2,1
A Hard Day's Night,87,"Comedy,Musical",7.5,47813,Richard Lester,Alun Owen,"Aug 11, 1964",560000,1537860,1626784,1964,8,11
A Man for All Seasons,120,"Biography,Drama,History",7.7,36912,Fred Zinnemann,Robert Bolt,"Dec 12, 1966",3900000,28350000,28350000,1966,12,12
Butch Cassidy and the Sundance Kid,110,"Biography,Crime,Drama",8.0,225867,George Roy Hill,William Goldman,"Oct 24, 1969",6000000,102308900,102311313,1969,10,24
Deep Throat,61,"Adult,Comedy",5.0,7016,Gerard Damiano,Gerard Damiano,"Jun 30, 1972",25000,45000000,45000000,1972,6,30
The Exorcist,122,Horror,8.1,451661,William Friedkin,William Peter Blatty,"Dec 26, 1973",12000000,230956951,428824083,1973,12,26
The Sting,129,"Comedy,Crime,Drama",8.3,278101,George Roy Hill,David S. Ward,"Dec 25, 1973",5500000,159616327,159616327,1973,12,25
Benji,86,"Adventure,Family,Romance",6.1,5152,Joe Camp,Joe Camp,"Nov 15, 1974",500000,31559560,31559560,1974,11,15
The Conversation,113,"Drama,Mystery,Thriller",7.7,120687,Francis Ford Coppola,Francis Ford Coppola,"Apr 7, 1974",1600000,4574909,4574909,1974,4,7
Love and Death,85,"Comedy,War",7.7,40639,Woody Allen,Woody Allen,"Jun 10, 1975",3000000,20123742,20123742,1975,6,10
The Omen,111,"Horror,Mystery",7.5,129929,Richard Donner,David Seltzer,"Jun 25, 1976",2800000,48570885,48577431,1976,6,25
Robin and Marian,106,"Adventure,Drama,Romance",6.5,13884,Richard Lester,James Goldman,"Mar 11, 1976",5000000,8000000,8000000,1976,3,11
Rocky,120,"Drama,Sport",8.1,624002,John G. Avildsen,Sylvester Stallone,"Nov 21, 1976",1000000,117235147,225000000,1976,11,21
Taxi Driver,114,"Crime,Drama",8.2,912575,Martin Scorsese,Paul Schrader,"Feb 8, 1976",1900000,28262574,28448654,1976,2,8
Capricorn One,123,"Action,Adventure,Drama",6.8,24523,Peter Hyams,Peter Hyams,"Dec 10, 1977",5000000,0,401,1977,12,10
Days of Heaven,94,"Drama,Romance",7.7,62321,Terrence Malick,Terrence Malick,"Sep 13, 1978",3000000,3446749,3660880,1978,9,13
Prophecy,102,"Horror,Sci-Fi,Thriller",5.5,6089,John Frankenheimer,David Seltzer,"Jun 15, 1979",12000000,22673340,22673340,1979,6,15
Dressed to Kill,104,"Crime,Drama,Mystery",7.1,47807,Brian De Palma,Brian De Palma,"Jan 1, 1980",6500000,31899000,31899000,1980,1,1
Galaxina,95,"Comedy,Sci-Fi",3.6,3385,William Sachs,William Sachs,"Jun 6, 1980",5500000,4865000,4865000,1980,6,6
Heaven's Gate,219,"Adventure,Drama,Western",6.7,16988,Michael Cimino,Michael Cimino,"Nov 19, 1980",44000000,3484331,3484523,1980,11,19
The Island,114,"Action,Adventure,Drama",5.3,4698,Michael Ritchie,Peter Benchley,"Jun 13, 1980",22000000,15716828,15716828,1980,6,13
The Ninth Configuration,118,"Comedy,Drama,Horror",6.8,8869,William Peter Blatty,William Peter Blatty,"Feb 29, 1980",4000000,0,0,1980,2,29
Somewhere in Time,103,"Drama,Fantasy,Romance",7.2,32255,Jeannot Szwarc,Richard Matheson,"Oct 3, 1980",5100000,9709597,9709597,1980,10,3
Chariots of Fire,125,"Biography,Drama,Sport",7.1,65466,Hugh Hudson,Colin Welland,"Sep 25, 1981",5500000,61558162,61910507,1981,9,25
Clash of the Titans,118,"Action,Adventure,Family",6.9,47460,Desmond Davis,Beverley Cross,"Jun 12, 1981",15000000,30000000,44400000,1981,6,12
The Four Seasons,107,"Comedy,Drama",6.8,5496,Alan Alda,Alan Alda,"May 22, 1981",6500000,42488161,42488161,1981,5,22
Heartbeeps,78,"Comedy,Sci-Fi",4.2,1660,Allan Arkush,John Hill,"Dec 18, 1981",10000000,6000000,6000000,1981,12,18
History of the World: Part I,92,"Comedy,History,Musical",6.8,54943,Mel Brooks,Mel Brooks,"Jun 12, 1981",11000000,31672000,31672000,1981,6,12
Creepshow,120,"Comedy,Fantasy,Horror",6.8,52865,George A. Romero,Stephen King,"Nov 10, 1982",8000000,20036244,20036244,1982,11,10
Diner,110,"Comedy,Drama",7.1,22649,Barry Levinson,Barry Levinson,"Apr 2, 1982",5000000,12592907,12592907,1982,4,2
E.T. the Extra-Terrestrial,115,"Adventure,Family,Sci-Fi",7.9,434856,Steven Spielberg,Melissa Mathison,"Jun 11, 1982",10500000,439454989,797307407,1982,6,11
Fast Times at Ridgemont High,90,"Comedy,Drama",7.1,114927,Amy Heckerling,Cameron Crowe,"Aug 13, 1982",4500000,27092880,27093116,1982,8,13
Gandhi,191,"Biography,Drama,History",8.0,239538,Richard Attenborough,John Briley,"Dec 8, 1982",22000000,52767889,127767889,1982,12,8
An Officer and a Gentleman,124,"Drama,Romance",7.0,61833,Taylor Hackford,Douglas Day Stewart,"Jul 28, 1982",6000000,129795554,129795554,1982,7,28
