title,isAdult,runtimeMinutes,genres,averageRating,numVotes,director,writer,Release Date,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
The Beaver,0,91,Drama,6.6,50609,Jodie Foster,Kyle Killen,"May 6, 2011",21000000,970816,5046038,2011,5,6
Safe,0,94,"Action,Crime,Thriller",6.5,116938,Boaz Yakin,Boaz Yakin,"Apr 27, 2012",33000000,17142080,41495213,2012,4,27
Never Back Down,0,113,"Action,Drama,Sport",6.5,105938,Jeff Wadlow,Chris Hauty,"Mar 14, 2008",21000000,24850922,39319801,2008,3,14
Attack the Block,0,88,"Action,Adventure,Comedy",6.7,111129,Joe Cornish,Joe Cornish,"Jul 29, 2011",13000000,1024175,6459183,2011,7,29
Licorice Pizza,0,133,"Comedy,Drama,Romance",7.1,139032,Paul Thomas Anderson,Paul Thomas Anderson,"Nov 26, 2021",40000000,17318007,32903549,2021,11,26
Gremlins,0,106,"Comedy,Fantasy,Horror",7.3,246226,Joe Dante,Chris Columbus,"Jun 8, 1984",11000000,151661913,152445758,1984,6,8
Foolproof,0,94,"Action,Comedy,Crime",6.4,11060,William Phillips,William Phillips,"Oct 3, 2003",5800000,230312,421021,2003,10,3
Rock Star,0,105,"Drama,Music",6.3,45146,Stephen Herek,John Stockwell,"Sep 7, 2001",38000000,16991902,19317765,2001,9,7
Dead Poets Society,0,128,"Comedy,Drama",8.1,539842,Peter Weir,Tom Schulman,"Jun 2, 1989",16400000,95860116,239500000,1989,6,2
King Arthur,0,126,"Action,Adventure,Drama",6.3,175405,Antoine Fuqua,David Franzoni,"Jul 7, 2004",90000000,51877963,203653524,2004,7,7
The Corruptor,0,110,"Action,Crime,Thriller",6.1,19070,James Foley,Robert Pucci,"Mar 12, 1999",10000000,15164492,15164492,1999,3,12
Notting Hill,0,124,"Comedy,Drama,Romance",7.2,339474,Roger Michell,Richard Curtis,"May 28, 1999",42000000,116089678,363718196,1999,5,28
16 Blocks,0,102,"Action,Drama,Thriller",6.6,134471,Richard Donner,Richard Wenk,"Mar 3, 2006",45000000,36895141,65595141,2006,3,3
The Cable Guy,0,96,"Comedy,Drama,Thriller",6.1,176985,Ben Stiller,Lou Holtz Jr.,"Jun 14, 1996",47000000,60240295,102825796,1996,6,14
Halloween 2,0,\N,Horror,5.3,66,Jake McDowell,Jake McDowell,"Aug 28, 2009",15000000,33392973,38512850,2009,8,28
Elysium,0,109,"Action,Drama,Sci-Fi",6.6,469128,Neill Blomkamp,Neill Blomkamp,"Aug 9, 2013",120000000,93050117,286192091,2013,8,9
Envy,0,99,Comedy,4.8,32215,Barry Levinson,Steve Adams,"Apr 30, 2004",20000000,13548322,14566246,2004,4,30
Phat Girlz,0,99,Comedy,3.3,9402,Nnegest Likké,Nnegest Likké,"Apr 7, 2006",3000000,7061128,7301115,2006,4,7
8MM,0,123,"Crime,Drama,Mystery",6.6,141969,Joel Schumacher,Andrew Kevin Walker,"Feb 26, 1999",40000000,36443442,96398826,1999,2,26
American Desi,0,100,"Comedy,Drama,Romance",6.6,1663,Piyush Dinker Pandya,Piyush Dinker Pandya,"Mar 16, 2001",250000,902835,1366235,2001,3,16
The Last Dragon,0,109,"Action,Comedy,Drama",6.8,17349,Michael Schultz,Louis Venosta,"Mar 22, 1985",10000000,33000000,33000750,1985,3,22
Monster,0,109,"Biography,Crime,Drama",7.3,160739,Patty Jenkins,Patty Jenkins,"Dec 24, 2003",5000000,34469210,64200321,2003,12,24
Ricki and the Flash,0,101,"Comedy,Drama,Music",6.0,24715,Jonathan Demme,Diablo Cody,"Aug 7, 2015",18000000,26839498,41166033,2015,8,7
Street Fighter,0,102,"Action,Adventure,Comedy",4.0,74957,Steven E. de Souza,Steven E. de Souza,"Dec 23, 1994",35000000,33423000,99423000,1994,12,23
Krush Groove,0,97,"Comedy,Drama,Music",6.4,3532,Michael Schultz,Ralph Farquhar,"Oct 25, 1985",3000000,11052713,11052713,1985,10,25
Equilibrium,0,107,"Action,Drama,Sci-Fi",7.3,345554,Kurt Wimmer,Kurt Wimmer,"Dec 6, 2002",20000000,1190018,5345869,2002,12,6
Renaissance Man,0,128,"Comedy,Drama",6.2,18947,Penny Marshall,Jim Burnstein,"Jun 3, 1994",40000000,24172899,24172899,1994,6,3
"Dude, Where's My Car?",0,83,"Comedy,Mystery,Sci-Fi",5.5,145235,Danny Leiner,Philip Stark,"Dec 15, 2000",13000000,46729374,73180297,2000,12,15
Scream 2,0,120,"Horror,Mystery",6.3,208290,Wes Craven,Kevin Williamson,"Dec 12, 1997",24000000,101363301,172363301,1997,12,12
"Bright Lights, Big City",0,107,Drama,5.7,8919,James Bridges,Jay McInerney,"Apr 1, 1988",25000000,16118077,16118077,1988,4,1
Steel Spirit,0,90,Action,7.5,25,Steven J. Pershing,Steven J. Pershing,"Jan 11, 2002",20000,1860,1860,2002,1,11
Faithful,0,91,"Comedy,Crime,Drama",5.8,2259,Paul Mazursky,Chazz Palminteri,"Apr 5, 1996",13000000,2104439,2104439,1996,4,5
Hell or High Water,0,102,"Crime,Drama,Thriller",7.6,250604,David Mackenzie,Taylor Sheridan,"Aug 12, 2016",12000000,27007844,37566117,2016,8,12
Adventureland,0,107,"Comedy,Drama,Romance",6.8,168025,Greg Mottola,Greg Mottola,"Apr 3, 2009",9800000,16044025,17553055,2009,4,3
Another Happy Day,0,119,"Comedy,Drama",6.0,4563,Sam Levinson,Sam Levinson,"Nov 18, 2011",4000000,9120,978527,2011,11,18
