title,isAdult,runtimeMinutes,genres,averageRating,numVotes,director,writer,Release Date,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Law Abiding Citizen,0,109,"Action,Crime,Drama",7.4,317042,F. Gary Gray,Kurt Wimmer,"Oct 16, 2009",53000000,73357727,131159781,2009,10,16
Hidden Away,0,96,"Drama,Romance",7.0,2921,Mikel Rueda,Mikel Rueda,"Jan 7, 2014",1000000,0,0,2014,1,7
Trespass,0,91,"Crime,Drama,Mystery",5.3,45347,Joel Schumacher,Karl Gajdusek,"Oct 14, 2011",35000000,16816,786532,2011,10,14
Cop Land,0,105,"Crime,Drama,Thriller",7.0,105612,James Mangold,James Mangold,"Aug 15, 1997",15000000,44906632,63706632,1997,8,15
Man on Wire,0,94,"Biography,Crime,Documentary",7.7,58466,James Marsh,Philippe Petit,"Jul 25, 2008",1900000,2962242,5617067,2008,7,25
"Synecdoche, New York",0,124,Drama,7.5,97702,Charlie Kaufman,Charlie Kaufman,"Oct 24, 2008",20000000,3083538,4383538,2008,10,24
American Beauty,0,122,Drama,8.3,1204850,Sam Mendes,Alan Ball,"Sep 15, 1999",15000000,130058047,356258047,1999,9,15
Dark Phoenix,0,113,"Action,Adventure,Sci-Fi",5.7,203134,Simon Kinberg,Simon Kinberg,"Jun 5, 2019",200000000,65845974,246356895,2019,6,5
Brooklyn Rules,0,99,"Crime,Drama",6.3,5950,Michael Corrente,Terence Winter,"May 11, 2007",8000000,458232,458232,2007,5,11
High School Musical 3: Senior Year,0,112,"Comedy,Drama,Family",5.0,67115,Kenny Ortega,Peter Barsocchini,"Oct 24, 2008",11000000,90559416,274392880,2008,10,24
Gun Shy,0,101,"Comedy,Crime,Romance",5.6,7819,Eric Blakeney,Eric Blakeney,"Feb 4, 2000",10000000,1638202,1638202,2000,2,4
The Kid,0,104,"Comedy,Family,Fantasy",6.1,44226,Jon Turteltaub,Audrey Wells,"Jul 7, 2000",65000000,69688384,69688384,2000,7,7
Rendition,0,122,"Drama,Thriller",6.8,58067,Gavin Hood,Kelley Sane,"Oct 19, 2007",27500000,9736045,26939925,2007,10,19
Semi-Pro,0,91,"Comedy,Sport",5.8,85725,Kent Alterman,Scot Armstrong,"Feb 29, 2008",55000000,33479698,43980363,2008,2,29
Young Adult,0,94,"Comedy,Drama",6.3,87450,Jason Reitman,Diablo Cody,"Dec 9, 2011",12000000,16311571,22750356,2011,12,9
See No Evil,0,84,"Action,Horror,Thriller",5.0,28693,Gregory Dark,Dan Madigan,"May 19, 2006",8000000,15032800,18828036,2006,5,19
Monsters,0,94,"Adventure,Drama,Romance",6.3,97227,Gareth Edwards,Gareth Edwards,"Oct 29, 2010",500000,237301,5639730,2010,10,29
Amsterdam,0,134,"Comedy,Drama,History",6.1,91741,David O. Russell,David O. Russell,"Oct 6, 2022",80000000,14947969,29400826,2022,10,6
Lady in the Water,0,110,"Drama,Fantasy,Mystery",5.5,103383,M. Night Shyamalan,M. Night Shyamalan,"Jul 21, 2006",75000000,42285169,72785169,2006,7,21
Fantastic Beasts and Where to Find Them,0,132,"Adventure,Family,Fantasy",7.2,504981,David Yates,J.K. Rowling,"Nov 14, 2016",180000000,234037575,811724385,2016,11,14
Velvet Buzzsaw,0,113,"Horror,Mystery,Thriller",5.7,65693,Dan Gilroy,Dan Gilroy,"Feb 1, 2019",21000000,0,0,2019,2,1
Half Past Dead,0,98,"Action,Crime,Thriller",4.6,16652,Don Michael Paul,Don Michael Paul,"Nov 15, 2002",25000000,15567860,19233280,2002,11,15
Marvin's Room,0,98,Drama,6.7,29860,Jerry Zaks,Scott McPherson,"Dec 20, 1996",23000000,12803305,12803305,1996,12,20
Dope,0,103,"Adventure,Comedy,Crime",7.2,89031,Rick Famuyiwa,Rick Famuyiwa,"Jun 19, 2015",7000000,17506470,18190831,2015,6,19
